#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
c1df1e220082b52bf901974bf5ba454d	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
0b2fd5299082fa521765c8843258c0ec	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	
79b1ef7e2921def11b8c8f36306eff5f	Bacteria	Bacteroidota	Bacteroidia				
3f99d53477b2866702d75dd086e49165	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
0a3ff446692ff353fa2cfcb720e24fa2	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	
b35e0cd864d88249a4e829500b2deb9d	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Psychrilyobacter	
8ecbdf6d861915b6048fee50cd9fbf6a	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae		
d15a0d996196b2bc35ff851699427097	Bacteria	Acidobacteriota	Acidobacteriae				
46b418d597bf6efbc7532b711ed44b02	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	
863dea0622cf5325ebac05ae763dd5cf	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae	
ca1e477184e9b8ba3b2f40cfc299da06	Unassigned						
28a0caa72f57fd0ed4f934e45ea57b02	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
1449cef3beed3dbca4d6d0e4d88a1d92	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	
a8e2ecb3d65e8eab1f3af63b23d06b8b	Bacteria	Proteobacteria	Alphaproteobacteria				
12b999772dac863e9e8f61c32ef84d01	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
7c7dfb65f9f3b842df5642d80f41ac54	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	
ce29a3233b7123cd470da3d1dabb070b	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophaga	Methylophaga_nitratireducenticrescens
eb25636b1e9926722de5d19e72c54f77	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	
0c54b9049e066c9cacb8a0506c82b3a3	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae		
138787f9b994ec21afb09ca493d281f6	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	uncultured	
