#NAME	Ev13.B	Ev14.B	Ev17a.B	Ev18a.B	Ev18b.B	Ev19b.B	Ev20.B	Ev21a.B	Ev22a.B	Ev24.B	Ev3.B	Ev4.B	Pg19.B	Pg20.B	Pg21.B	Pg22.B	Pg25.B	Pg26.B	Pg29.B	Pg30.B	Pg31.B	Pg32.B	Pg33.B	Pg35.B
bf5740926e16568b9f028a5a3bdd1c84	22	71	0	0	0	32	0	0	60	32	145	192	0	0	0	0	8	0	104	0	45	5	105	0
15fc40d0527954963dfd80c417bb60c9	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	74	188	46	88	0	395
cb8ec8cc2236c82d7565f9d1f92bbdc6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	31	25	302	42	31
2fd8058c585633c94ea277c3c45fd919	0	0	0	0	0	0	0	1	0	35	0	0	3	10	11	620	10	55	0	0	0	0	68	0
223f629597aaa578a5bc10b2c5c9ac56	70	15	0	30	0	29	0	0	8	3	0	32	0	0	0	0	0	0	142	56	275	111	30	6
97f074b9c061d0e846fbee785812294b	8	15	134	147	57	43	152	189	0	0	0	0	0	0	0	0	0	0	23	0	0	0	39	0
11eba984393f13293296f2b48abe6cb4	0	0	186	0	149	0	348	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408cae9bf623996801b01bcf2b7c35d5	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	338	228	0	160	0	23	0	0
637ce005d56a91d598811ab01f76c827	0	24	0	0	0	12	0	0	0	0	0	0	9	0	0	0	191	241	0	107	36	150	0	22
1653579e78a80a0eaf737596f422b0dc	21	70	0	0	0	63	0	0	76	47	245	142	0	0	0	0	0	0	0	0	40	15	60	0
5e060887b559249f3c59bc53fab6c19c	202	0	0	0	0	56	0	0	22	0	0	0	0	0	0	0	0	0	56	198	136	0	104	0
6aefb9d26cfdf07fcb45ecb24ff7bd95	179	125	0	173	66	92	61	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0
b0a0db54aa5d41a07f462b160c3b2b1d	77	33	67	115	0	0	34	111	76	48	95	93	0	0	0	0	0	0	0	0	0	0	0	17
