#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
099b6caf07b92e9bfeaeb450acef4780	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia	Sericytochromatia	Sericytochromatia	uncultured_bacterium
7ce53868f57951f28b38ea23f3d9e63f	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Peptoniphilus	Peptoniphilus_harei
a031540f080f773ee3b697b686248572	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales			
d05688394dd66549f0f84368802e1967	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	
f6caf649784ca9a8253af718a45be33d	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae		
4e280f49c097353e8a6104a6b5e9da28	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	
1d29db1f947b77e7687f89b9866e67e4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Methylobacterium_jeotgali
534c43405b28a483cc5d11cc42179f80	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales			
c40b543ba6cbf939794d54f52d500938	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	
38cac40b96ed49fc43a42d444ecdda66	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	uncultured	
ffcfe7ea82617ec3d303638462578704	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae		
6e66df43b881357295479a300f077fda	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Marinobacteraceae	Marinobacter	
017c8d051bd9fc646ed4a48d453a7278	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrionaceae	uncultured_bacterium
8651482b7ec0d305b4c0865a99c4b37f	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Marixanthomonas	uncultured_bacterium
0c86ac7e9f973e2f59d3ee9a7e2a54df	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
ac6875fa5d87c459bc88cb9c80ead25d	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Profundimonas	
d9c10a8c9899684c33829836cf460648	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum_soleae
113822acb47b964f49b65bc1d56ebc43	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	
990ff9a0ed549e17ddb02f36a73774c0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae		
088a270200ce0fc2995a0c52644a3cfe	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	
9a7eed72cbc08d50c28dd41540feda4d	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Vitellibacter	
e6881a109d34c12ac5f933920da7ba93	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_pseudodiphtheriticum
f32ddee04ccf486ace1758a79706902e	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	
89d85c221ca2b961c13273319490bb43	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
02fba2ac5e5ea1290b3be7ccd60e8deb	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	uncultured	uncultured_delta
c72332a7766bb7c0bad9af8a83672d41	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_durum
b99a54deb7b0f5362fb1e26681e56b25	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Cobetia	
1f846097c34cecc62256083933b37905	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	uncultured	uncultured_bacterium
2a43b9ba76473e2f28502bc09992d572	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter_clade_NAC11-7_lineage	uncultured_Pelagicola
ab74ce8e9ede2a78e4f408117c730c74	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured	uncultured_bacterium
77f707204590b39a94d7a8bb628a042b	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales			
0c1ddb5277ada28e8997741f326c486d	Bacteria	Proteobacteria	Gammaproteobacteria				
7aed163e26f93643ed87fd890b4d5abd	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	
4a1620506d87a282d26c30d27dbe9b1a	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Peptoniphilus	Peptoniphilus_duerdenii
69f9633763c00ff79ab23756d00cdc43	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae	
0d3ccff1ec3c78b6f93eadb17f4fabe9	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	Anaerococcus	
39fc1ce08d8342cc452253f13e4205e2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia-Loktanella	
7ece8f6dc281d1818a3ed1087ef35cfa	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	
e6de49c451005595ec0f9614b28c07b0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae		
277d955ae0e2f5b188bc8233f5b4e9f4	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
f5d80b414cf30784b01947950d4bad5e	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	
fd7d2583a125d418e761a691aa1fe3f4	Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	uncultured	uncultured_bacterium
40700bf379a9527b76d5b50f88306627	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	
db7d4ae5e0fe72296081a549a2a953a6	Bacteria						
01d472f7d66416c79366645d7e4e2830	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Dokdonia_genika
01cfdf0748c910edcb7bc2cec24dda06	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	uncultured	
1fa68437bbf36779ffd85eeaa61fa4dc	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae		
054a119a792cedc275c9b74bac7b9b42	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
a2e7686c7e150661959c0ff27d40ed58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	uncultured	
18d4f75fc5b66f9436a036efa7d62a76	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae		
2309ee6098911bf4b19bd44bf7a7da43	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36	HOC36	HOC36	uncultured_bacterium
2bd1180d8d0800da5dbeee2351e201ac	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_pallens
f98196a2edaaf72aed42738f73921ea1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	
b4e98a3e40fbedc31221cd68bb514f5b	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter_flavus
bc63bfc63d5d53cef6d0a67329b84997	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
3bc8b969eb4cee94772b7b0800127d24	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	uncultured_bacterium
ecec2bd183a8aea141aa08e9476c0fc9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
755ad66e50b90781718d826cd6c89e49	Bacteria	Proteobacteria	Gammaproteobacteria	Granulosicoccales	uncultured	uncultured	
4485e8a749e191312f47c72c6e9b3009	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	
fe52dd9ada9e9190d88dfb1071c65f70	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	
b336772435666fb83ad0804a61a009d0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
9a25c6e8df5a0fed778ae5c3dd6ed398	Bacteria	Actinobacteriota	Actinobacteria	PeM15	PeM15	PeM15	
f137be4e8ef257adab530b4e7fc96258	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
9882f051e02846a7f053545541cdfdae	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	
d74bf25714ebad1ce29f7609b2a3c4c6	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	
c0494295d450fe400fb9a6a6f0b48403	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
