# Constructed from biom file																																																																																				
#OTU ID	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	taxonomy
059e124ad6ba8f98c3d21db28a075ea8	85	222	68	29	23	141	119	257	41	170	1574	9524	4365	8454	73	9084	75	161	1331	634	89	1419	3699	23550	69285	89870	15006	1794	357	392	491	218	635	33105	11349	54514	46849	10192	195373	213	196	201	140	212	11423	156	221	207	611	403	273	2613	308	1042	1309	652	283	16	438	92	43	19	1232	192	491	313	60	905	553	9346	5982	65	304	38	60	182	31	129	24	2876	12934	206	49	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
afbc0fc75a4bced9ee0f94c61c8f279b	101	239	95	133	160	182	177	310	117	241	66046	58164	50327	1008	5428	56032	242	316	552	358	397	213	394	901	429	25	132	129	19	24	56	223	338	0	171	228	406	229	249	220	167	231	162	211	124760	239	283	246	164201	7221	42340	3874	8217	11705	16997	13773	486	0	455	48	0	7	52	1769	1040	1240	261	21	103	0	110	202	240	0	37	48	5	11	8	6	118	6	29	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas
9c3fa0847bbb3b73c601b9bdaea01c92	0	0	59	0	76	0	0	0	0	56	54	0	46	132	71	193	38	153	215	48	91	0	34005	6804	8827	11566	7050	124753	598	109143	153031	144	81583	3512	53295	783	1296	12329	280	0	23	167	0	0	113	0	120	0	0	60	0	71	0	63	105	0	41	0	58	0	0	0	0	78	0	51	95	0	0	2350	699	0	1696	0	1501	17202	487	182	103	385	516	0	39	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
162f2f20add487cef7d58c631cae6783	0	11	12	0	277	180	21	925	0	12	1984	320	1809	2294	1858	889	1079	646	487	731	3207	237	1245	1191	179	1246	28	63	28	41	93	26	36	24	1144	2376	2643	2795	1521	12	2051	2740	0	2664	2270	17	3314	170	18	548	2634	19	12	24	1692	705	700	700	512	221	4146	6644	32	99	198	7011	159	29	1056	0	310	0	71	709	0	96	16	57	0	0	0	24	554343	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
e2da3d47e935576bc554cf0efd8f8937	114	33	110	130	186	26	35	43	228	25	32171	46923	32623	811	2053	22334	211820	6656	29172	1587	6494	17692	5294	6278	562	153	20105	44498	605	235	278	26	188	107	247	99	125	65	43	71	245	85	33	223	23832	20	76	38	8923	12491	2432	115	1439	8476	3023	2746	89	0	98	68	0	0	26	670	1387	659	40	105	28	18	1846	910	61372	8	108	199	227	111	314	248	124	20	23	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio
4db7a1d87dc74131e28f64ce19bb4ce6	0	325	43	66	0	318	265	425	88	263	18701	6202	3135	81	2481	7122	134	158	162	156	148	0	76	0	72	88	153	0	130	236	224	305	209	0	0	126	164	166	338	488	173	239	244	211	80049	296	156	277	29373	33569	68154	1639	57873	102501	100783	96016	617	0	729	0	0	0	46	0	34	50	56	59	58	0	0	0	34	0	45	0	49	61	62	61	53	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio
a052dce1ca5d639858ec7cb4f007d92a	71	21	53	196	35	32	22	45	409	0	614	206	1707	98	274	1086	1847	297	476	2502	7739	42223	1463	166843	44917	6945	25285	11324	712	640	468	244	904	826	1050	178	112	160	148	61	825	167	338	778	319	156	370	126	801	41	134	42	131	414	60	634	181	41	5053	12835	49	4825	392	8922	908	2525	105	11803	844	391	931	599	8188	77	405	166	329	306	255	4580	217860	171	229	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast
9f4bf94807ff43c772c6acc200dd6d3b	35	0	111	0	0	0	0	0	0	0	63	39	54	209	0	0	0	0	0	0	0	85	132	333	337	650	194	285	235	300	230	0	233	83215	144221	48025	49769	239285	12040	0	275	379	0	389	401	0	558	0	44	153	0	0	0	0	20	0	0	0	102	24	0	0	296	0	0	0	0	0	0	35	81	0	50	0	0	0	0	0	0	0	0	0	50	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
5f95048c0d2cfb2ce40532232ba6678e	0	0	0	0	0	159	0	806	0	0	474	233	212	244	209	276	302	473	296	215	249	198	958	5	0	0	5	4	6	6	9	0	9	0	936	1825	1997	1824	3	0	1519	1939	0	2091	1622	0	2497	149	0	0	0	0	0	0	0	3	0	0	307	0	0	139	0	0	0	0	0	0	0	0	267	0	3	568	0	0	0	0	3	0	0	0	546734	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_fermentum
47b1b94a77cc654b089fc9fdacd46e07	0	0	67	0	0	0	0	0	0	0	49	41	51	147	0	0	0	0	0	0	0	56	125	293	286	550	238	292	207	243	303	15	227	71671	145060	54097	51126	227184	13174	19	287	379	0	361	373	0	566	16	57	130	12	30	19	28	21	30	27	0	80	20	0	0	664	0	0	0	0	0	0	19	44	29	0	0	0	33	0	0	0	12	0	0	47	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
0b2b7abfd4e9e5eee68f07ee369428fc	244	84	147	241	189	35	33	111	324	81	446	276	43	0	122	73	175	419	359	301	181	212	1135	111417	21793	7377	5314	6507	543	934	713	378	651	636	1050	304	84	53	902	44	129	268	201	274	155	334	414	391	48	43	95	68	113	206	90	227	1525	1421	27144	254718	12365	110	265	2001	1126	2407	1570	2699	9048	4015	1347	203	9220	226	152	106	157	288	163	16097	50832	914	206	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast
67b4709d791c473d95127ee070d73b45	0	10	0	23	0	0	0	0	49	0	0	27	0	0	37	0	0	23	0	68	373	639	61	2267	624	28	347	324	21	62	37	55	691	139	0	0	0	0	0	0	0	13	54	86	347	46	0	0	0	0	16	0	0	0	0	54	196	0	0	24377	16	12	43	264	69	1643	40	2260	190	622	0	438	2126	21	335	578	267	368	369	17348	499458	32	0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast
63c0214bafc23c3f84b8623d27e23cbc	9	0	0	8	176	0	0	0	0	698	0	53	25	16	22	527	2941	3552	2248	318	20	1478	22	33880	2391	57	3091	2838	166	254	199	0	54	44	72	34	0	0	0	0	68	87	0	0	238	0	0	0	6	0	13	241	52	63	215	0	0	257	0	3419	434	352	6514	301877	60077	73897	47877	1481	507	422	789	27	0	441	0	181	34	49	29	1012	0	457	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Aliidiomarina
