#NAME,SRR17045222,SRR17045223,SRR17045226,SRR17045227
ASV_10729,0,0,0,5
ASV_1073,0,31,0,0
ASV_10730,0,0,0,4
ASV_10731,0,0,0,3
ASV_10732,0,0,0,3
ASV_10733,0,0,0,5
ASV_10734,0,0,0,5
ASV_10735,0,0,0,6
ASV_10736,0,0,0,3
ASV_10737,0,0,0,6
ASV_10738,0,0,0,4
ASV_10739,0,0,0,4
ASV_1074,0,28,0,0
ASV_10740,0,0,1,4
ASV_10741,0,0,0,5
ASV_10742,0,0,0,4
ASV_10743,0,0,0,3
ASV_10744,0,0,0,4
ASV_10745,0,0,0,4
ASV_10746,0,0,0,6
ASV_10747,0,1,0,4
ASV_10748,0,0,0,6
ASV_10749,0,0,0,3
ASV_1075,0,26,0,0
ASV_10750,0,0,0,3
ASV_10751,0,2,0,5
ASV_10752,0,0,0,4
ASV_10753,0,0,0,3
ASV_10754,0,0,0,3
ASV_10755,0,0,0,4
ASV_10756,0,0,0,4
ASV_10757,0,0,2,5
ASV_10758,1,0,0,4
ASV_10759,0,0,0,8
ASV_1076,0,30,0,0
ASV_10760,0,0,0,7
ASV_10761,0,0,0,7
ASV_10762,0,0,0,6
ASV_10763,0,0,0,9
ASV_10764,0,1,0,4
ASV_10765,0,0,0,4
ASV_10766,0,0,0,3
ASV_10767,0,1,0,4
ASV_10768,0,0,0,4
ASV_10769,0,0,0,4
ASV_1077,0,29,0,0
ASV_10770,0,1,1,6
ASV_10771,0,0,0,4
ASV_10772,0,0,0,3
ASV_10773,0,0,0,5
ASV_10774,0,0,0,4
ASV_10775,0,0,0,7
ASV_10776,0,0,0,4
ASV_10777,0,1,0,4
ASV_10778,0,0,0,4
ASV_10779,0,0,0,7
ASV_1078,0,27,0,0
ASV_10780,0,0,0,4
ASV_10781,0,0,0,3
ASV_10782,0,0,0,5
ASV_10783,0,0,0,3
ASV_10784,0,0,0,8
ASV_10785,0,0,0,4
ASV_10786,0,0,0,16
ASV_10787,0,1,0,3
ASV_10788,0,0,0,6
ASV_10789,0,0,0,6
ASV_1079,0,28,0,0
ASV_10790,0,0,0,6
ASV_10791,0,0,0,3
ASV_10792,0,0,0,5
ASV_10793,0,0,0,3
ASV_10794,0,0,0,7
ASV_10795,0,0,0,4
ASV_10796,0,0,0,4
ASV_10797,0,2,0,5
ASV_10798,0,0,0,5
ASV_10799,0,0,0,5
ASV_108,0,123,0,0
ASV_1080,0,0,27,0
ASV_10800,0,0,0,5
ASV_10801,0,0,0,3
ASV_10803,0,0,0,3
ASV_10804,0,0,0,4
ASV_10805,0,0,0,5
ASV_10806,0,0,0,3
ASV_10807,0,0,0,7
